source_id,title,authors,journal,year,doi,pmid,trial,study_type,prespecified_or_posthoc,population,intervention,comparator,primary_endpoint,key_result,limitations,evidence_level,used_for_claims
SOUL-KIDNEY-2026,"Impact of Oral Semaglutide on Kidney Outcomes in People With Type 2 Diabetes: Results From the SOUL Randomized Trial","Mann JFE; Marx N; Deanfield JE; et al.","Diabetes Care",2026,10.2337/dc25-1080,41380027,SOUL (NCT03914326),RCT prespecified secondary analysis (hierarchically gated),Prespecified,"T2D + ASCVD and/or CKD, N=9650, mean eGFR 73.8, UACR not collected","Oral semaglutide 14 mg daily",Placebo,"Five-point kidney/CV-death composite (persistent >=50% eGFR decline, persistent eGFR<15, chronic KRT, kidney death, or CV death); four-point composite excl. CV death; eGFR slope","5-point composite: 403/4825 (8.4%) vs 435/4825 (9.0%), HR 0.91 (0.80-1.05) P=0.19 - NOT significant; 4-point (excl. CV death): 112/4825 vs 129/4825, HR 0.86 (0.66-1.10) P=0.22; eGFR-slope difference 0.40 (0.27-0.53) mL/min/1.73m2/yr, nominal P<0.0001 favoring semaglutide; placebo-arm kidney-composite event rate ~2.3/100 patient-yr (~1/3 of FLOW's 7.5/100 patient-yr)","Kidney composite was nonsignificant; lower baseline kidney risk and fewer events are an author-offered explanation, not a proven causal attribution, and dose/route cannot be isolated; ADA copyright/TDM-ML restriction on cached parse - cite via independently verified abstract text only, never as sole basis; once the kidney composite failed, the eGFR slope and all further SOUL secondary analyses are formally exploratory under the prespecified testing hierarchy",Suggestive/formally exploratory (nominal eGFR slope after gate failure); Not significant (composite kidney outcome),"06;12;13;14;15"
SELECT-FLOW-SOUL-POOLED-2026,"Effect of semaglutide on kidney outcomes in the SELECT, FLOW, and SOUL trials: a prespecified pooled analysis","Mann JFE; Badve SV; Baeres FMM; et al.","Lancet Diabetes Endocrinol",2026,10.1016/S2213-8587(26)00134-8,42567173,"Pooled: SELECT, FLOW, SOUL",Prespecified participant-level pooled analysis,Prespecified,"N=30,787 pooled across 3 trials (FLOW=T2D+CKD 1.0mg SC; SELECT=established ASCVD w/o diabetes 2.4mg SC; SOUL=T2D+ASCVD/CKD 14mg oral); mean follow-up 39.5-47.5 months","Semaglutide (dose/route per parent trial)",Placebo,"Primary pooled composite: persistent >=50% eGFR decline, kidney failure (persistent eGFR<15 or KRT), kidney death, or CV death; narrower secondary excludes CV death","Primary: 973 vs 1134 events, HR 0.84 (0.77-0.91); narrower (excl. CV death): 347 vs 416 events, HR 0.80 (0.69-0.92); SAEs numerically lower with semaglutide","PubMed Methods verifies both harmonized endpoint definitions. PubMed records electronic publication on 2026-08-07 and PublicationStatus=aheadofprint at the 2026-09-05 cutoff; raw Crossref metadata records only 2026-08 without a day, so 2026-08-01 is a tool-normalization artifact rather than a competing exact date; no volume/issue/pages assigned; heterogeneous baseline characteristics/dose/route across trials explicitly acknowledged by authors; pooled estimate is statistically dependent on its parent trials and must not be ranked beside them as an independent estimate; abstract-level only, full text/tables not obtained; the authors' own 'might not be explained only by glycaemic/weight effects' statement is a cross-trial-consistency inference, not a formal mediation analysis - graded hypothesis-generating for that specific claim, while the pooled HRs themselves are prespecified RCT-level evidence",High (pooled HRs and endpoint definitions; abstract-verified); Hypothesis-generating (glycemia/weight-independence interpretation),"06;07;09;12;13;14;15"
GLP1-CLASSMETA-BADVE-2025,"Effects of GLP-1 receptor agonists on kidney and cardiovascular disease outcomes: a meta-analysis of randomised controlled trials","Badve SV; Bilal A; Lee MMY; et al.","Lancet Diabetes Endocrinol",2025,10.1016/S2213-8587(24)00271-7,39608381,"Meta-analysis of 10 T2D RCTs; 11 RCTs when SELECT was added post hoc",Meta-analysis,n/a (aggregate); PROSPERO CRD42024528864,"T2D-only N=67,769; N=85,373 when SELECT was added post hoc","Various GLP-1 receptor agonists",Placebo,"CV-death-excluded kidney composite: kidney failure (KRT or persistent eGFR<15), sustained >=50% eGFR decline or nearest trial equivalent, or kidney-failure death; kidney failure; MACE; all-cause death; SAEs; discontinuation","T2D-only: kidney composite HR 0.82 (0.73-0.93); kidney failure HR 0.84 (0.72-0.99); MACE HR 0.87 (0.81-0.93); all-cause death HR 0.88 (0.83-0.93); with SELECT added post hoc: kidney composite HR 0.81 (0.72-0.92), MACE HR 0.86 (0.80-0.92), no heterogeneity vs T2D-only (P-heterogeneity>0.05); serious adverse events RR 0.95 (0.90-1.01), I2=88.5%; adverse-event discontinuation RR 1.51 (1.18-1.94), I2=96.3%","Per-molecule breakdown not available in the abstract - pooled HR heavily weighted by FLOW/semaglutide and must not be transferred uniformly to liraglutide/dulaglutide/efpeglenatide/exenatide/lixisenatide/tirzepatide; composite excludes CV death and must not be directly equated with FLOW's five-component endpoint; kidney-failure-specific CI upper bound (0.99) barely excludes null; high safety heterogeneity; abstract-level only, full text not obtained",High (pooled-level; abstract-verified); per-molecule breakdown not established,"06;07;09;12;13;14;15"
COMBO-MODEL-NEUEN-2024,"Estimated Lifetime Cardiovascular, Kidney and Mortality Benefits of Combination Treatment With SGLT2 Inhibitors, GLP-1 Receptor Agonists, and Non-steroidal MRA Compared With Conventional Care in Patients With Type 2 Diabetes and Albuminuria","Neuen BL; Heerspink HJL; Vart P; et al.","Circulation",2024,10.1161/CIRCULATIONAHA.123.067584,37952217,"Modeled from CANVAS+CREDENCE (SGLT2i), 8 GLP-1RA CVOTs (FLOW NOT included), FIDELIO-DKD+FIGARO-DKD (finerenone)",Modeled/actuarial lifetime-benefit extrapolation (assumes full or 50% additivity),n/a (not a trial),"T2D + UACR>=30 mg/g (modeled from CANVAS/CREDENCE conventional-care-arm population, N=3482)","Modeled triple combination: SGLT2i + GLP-1RA + ns-MRA (finerenone)","Modeled conventional care","Modeled MACE, HF hospitalization, CKD progression, CV death, all-cause death event-free survival","Modeled MACE HR 0.65 (0.55-0.76); 3y ARR 4.4% (3.0-5.7); NNT 23 (18-33); CKD-progression-free-survival gain at age 50 = 5.5y (4.0-6.7); 50%-additivity sensitivity: MACE HR 0.73 (0.62-0.87)","NOT randomized combination-therapy evidence and NOT semaglutide-specific (FLOW not an input trial); applies separately-estimated relative effects to a single population assuming full/50% additivity, an explicit unvalidated methodological assumption; local derivative reuse rights remain unresolved, so use verified underlying publication metadata/results rather than redistributing that derivative; must be labeled 'modeled/simulated,' never 'trial-proven'",Hypothesis-generating / modeled (not direct RCT evidence),"07;08;12;13;14;15"
SAWAMI-REVIEW-2024,"Updated evidence on cardiovascular and renal effects of GLP-1 receptor agonists and combination therapy with SGLT2 inhibitors and finerenone: a narrative review and perspectives","Sawami K; Tanaka A; Node K","Cardiovasc Diabetol",2024,10.1186/s12933-024-02500-y,39548500,n/a,Narrative review,n/a,n/a,n/a,n/a,n/a,"Narrative synthesis of others' trial results (cross-trial summary tables built from primary papers) - re-verify any number against the primary trial before citing; per evidence hierarchy this may never substitute for a primary source",n/a,"Review/editorial (background/context only, not a primary evidentiary source)","09;12"
SMART-NONDIABETIC-2025,"Semaglutide in non-diabetic CKD (SMART trial)","Apperloo EM; et al.","Nature Medicine",2025,10.1038/s41591-024-03327-6,39455729,SMART,RCT surrogate-endpoint trial,Prespecified,"Non-diabetic CKD, N=101, 24-week surrogate trial",Semaglutide,Placebo,"UACR change (surrogate)","UACR 52.1% lower relative to placebo at 24 weeks","Short-term surrogate-endpoint trial only; does not establish hard-kidney-outcome efficacy; no hard-outcome inference should be drawn",Suggestive (surrogate; non-diabetic CKD),"05;07;12;15"
SMART-MGFR-2026,"Measured GFR analysis of the SMART trial","Heerspink HJL; et al.","Clin J Am Soc Nephrol",2026,10.2215/CJN.0000001051,42308057,SMART,Post hoc mechanistic sub-study,Post hoc,"SMART participants with iohexol-measured GFR",Semaglutide,Placebo,"Measured (iohexol) GFR change","Supports evaluation of the creatinine/muscle-mass artifact question; does not itself establish a hard-outcome mechanism","Mechanistic/surrogate evidence only; non-diabetic CKD population, short-term",Suggestive (mechanistic),"09;12"
REMODEL-REGISTRY-2026,"REMODEL trial/registry (semaglutide, kidney mechanism)","(investigators; design paper: Pruijm M et al.)","ClinicalTrials.gov NCT04865770 / Kidney Int / NDT (design)",2026,10.1016/j.kint.2025.10.005 (methods); 10.1093/ndt/gfaf114 (design),41207620 (methods); 40608494 (design),REMODEL (NCT04865770),Registry/design papers only,n/a,n/a,n/a,n/a,n/a,"Results first posted to registry 2026-01-14; NO peer-reviewed primary-results paper identified by the 2026-09-05 cutoff","Registry/conference/sponsor-level findings only - must NOT be upgraded to peer-reviewed evidence; design/methods papers describe the planned mechanistic study, not results",Unknown (no peer-reviewed results),"09;12;15"
CREDENCE-2019,"Canagliflozin and Renal Outcomes in Type 2 Diabetes and Nephropathy","Perkovic V; Jardine MJ; Neal B; et al.","N Engl J Med",2019,10.1056/NEJMoa1811744,30990260,CREDENCE,RCT primary publication,Primary,"T2D + albuminuric CKD; eGFR 30-<90; UACR >300-5000; mandatory stable RAS blockade; N=4401",Canagliflozin 100mg,Placebo,"ESKD, doubling of serum creatinine, or renal/CV death","Primary HR 0.70 (0.59-0.82); renal-specific composite HR 0.66 (0.53-0.81); ESKD HR 0.68 (0.54-0.86); CV death HR 0.78 (0.61-1.00)","Primary article rechecked for contextual comparison; acute/chronic eGFR estimates are sourced separately to CREDENCE-EGFR-SLOPE-2020; composite definition differs from FLOW, including a doubling-creatinine threshold and CV death; trial stopped early; cross-trial comparison is contextual, not a treatment ranking",High (primary RCT; contextual comparison),"07;12;14"
DAPA-CKD-2020,"Dapagliflozin in Patients with Chronic Kidney Disease","Heerspink HJL; Stefansson BV; Correa-Rotter R; et al.","N Engl J Med",2020,10.1056/NEJMoa2024816,32970396,DAPA-CKD,RCT primary publication,Primary,"CKD with/without T2D; eGFR 25-75; UACR 200-5000; N=4304",Dapagliflozin 10mg,Placebo,"Sustained >=50% eGFR decline, ESKD, or renal/CV death","Primary HR 0.61 (0.51-0.72); renal-specific composite HR 0.56 (0.45-0.68); ESKD HR 0.64 (0.50-0.82); isolated CV death HR 0.81 (0.58-1.12); CV-death/HF-hospitalization composite HR 0.71 (0.55-0.92); total-slope difference +0.93 and chronic-slope difference +1.92 mL/min/1.73m2/yr","Primary outcome article; diabetes prevalence and background ACEi/ARB/GLP-1RA values are sourced separately to DAPA-CKD-BASELINE-2020; different composite/background-therapy mix from FLOW; trial stopped early; cross-trial comparison is contextual only",High (primary RCT; contextual comparison),"07;12;14"
DAPA-CKD-BASELINE-2020,"The dapagliflozin and prevention of adverse outcomes in chronic kidney disease (DAPA-CKD) trial: baseline characteristics","Wheeler DC; Stefansson BV; Batiushin M; et al.","Nephrol Dial Transplant",2020,10.1093/ndt/gfaa234,32862232,DAPA-CKD,Trial baseline-characteristics publication,n/a (descriptive baseline),"N=4304; 2906 (67.5%) with diabetes; 4174 (97.0%) receiving ACEi/ARB; 122 (2.8%) receiving GLP-1RA",Dapagliflozin 10mg or placebo,n/a,"Baseline characteristics","T2D 67.5%; ACEi/ARB 97.0%; GLP-1RA 2.8% overall","Descriptive baseline report, not an outcomes-effect analysis; used only for contextual comparator fields; CC BY-NC 4.0",High (primary descriptive baseline),"01;14"
EMPA-KIDNEY-2023,"Empagliflozin in Patients with Chronic Kidney Disease","Herrington WG; Staplin N; Wanner C; et al.","N Engl J Med",2023,10.1056/NEJMoa2204233,36331190,EMPA-KIDNEY,RCT primary publication,Primary,"CKD with/without diabetes; eGFR >=20 under protocol pathways; N=6609; 46% diabetes; median UACR 329; ~86% RAS blockade",Empagliflozin 10mg,Placebo,"Kidney disease progression or CV death","Primary HR 0.72 (0.64-0.82); kidney-disease progression HR 0.71 (0.62-0.81); CV death HR 0.84 (0.60-1.19); total-slope difference +0.75 and chronic-slope difference +1.37 mL/min/1.73m2/yr","Primary PMC/XML article rechecked for contextual comparison; eGFR floor lower and albuminuria spectrum broader than FLOW; stopped early at about 2 years; cross-trial comparison is contextual only",High (primary RCT; contextual comparison),"07;12;14"
FIDELIO-DKD-2020,"Finerenone in Reducing Kidney Failure and Disease Progression in Diabetic Kidney Disease","Bakris GL; Agarwal R; Anker SD; et al.","N Engl J Med",2020,10.1056/NEJMoa2025845,33264825,FIDELIO-DKD,RCT primary publication,Primary,"T2D + albuminuric CKD; eGFR 25-<75; N=5734 randomized and 5674 analyzed; background SGLT2i 4.5%, GLP-1RA 7.0%",Finerenone,Placebo,"Kidney failure, sustained >=40% eGFR decline, or renal death (excludes CV death)","Primary HR 0.82 (0.73-0.93); kidney failure 7.3% vs 8.3%; CV death 4.5% vs 5.3% (not significant); chronic slope -2.66 vs -3.97, difference about +1.31 mL/min/1.73m2/yr","Primary metadata/results rechecked; composite excludes CV death, unlike FLOW/CREDENCE/DAPA-CKD/EMPA-KIDNEY, and background SGLT2i/GLP-1RA use was low; cross-trial HRs are not directly rankable",High (primary RCT; contextual comparison),"08;12;14"
FIDELITY-POOLED-2022,"FIDELITY pooled analysis of FIDELIO-DKD and FIGARO-DKD","Agarwal R; Filippatos G; Pitt B; et al.","Eur Heart J",2022,10.1093/eurheartj/ehab777,35023547,"FIDELIO-DKD + FIGARO-DKD pooled",Prespecified pooled analysis,Prespecified,"T2D + CKD across complementary pathways: eGFR >=25 with pathway-specific upper bounds; FIGARO's UACR 300-5000/eGFR>=60 pathway had no stated eGFR upper bound; N=13,026 analyzed; RAS blockade 99.8%; SGLT2i 6.7%; GLP-1RA 7.2%; median UACR 515 mg/g",Finerenone,Placebo,"CV composite; kidney composite (separate, excludes CV death)","CV composite HR 0.86 (0.78-0.95); kidney composite HR 0.77 (0.67-0.88); ESKD HR 0.80 (0.64-0.99); isolated CV death HR 0.88 (0.76-1.02); primary article did not report eGFR slope","Primary PMC article rechecked; pooled parent trials rather than a standalone RCT; kidney composite excludes CV death; GLP-1RA-background subgroup is indirect and asks the reverse of semaglutide added to finerenone; cross-trial comparison contextual only",High (prespecified pooled RCT analysis; contextual comparison),"08;12;14"
GLP1R-LOCALIZATION-2014,"GLP-1 receptor localization in monkey and human tissue: novel distribution revealed with extensively validated monoclonal antibody","Pyke C; Heller RS; Kirk RK; et al.","Endocrinology",2014,10.1210/en.2013-1934,24467746,n/a,Human/animal tissue immunohistochemistry study,n/a,"Human, monkey, rat, mouse kidney cortex tissue",n/a,n/a,"GLP-1 receptor localization","GLP-1R found exclusively in vascular smooth muscle cells of preglomerular arterial/arteriolar walls in human kidney cortex - NOT in glomeruli, tubules, or veins","Abstract-level secondary summary only, full text not independently retrieved; other groups report discordant findings (proximal-tubular overlap with DPP-4) - literature on renal GLP-1R localization is genuinely discordant, not resolved by this study alone",Suggestive (best-validated single study; localization overall unresolved),"09;15"
GLP1-RENAL-CROSSTALK-2024,"GLP-1 and the kidney: from physiology to pharmacology and outcomes in diabetes and CKD","Hinrichs GR; Hovind P; Asmar A","Am J Physiol Cell Physiol",2024,10.1152/ajpcell.00476.2023,38105752,n/a,Mechanistic review (cites human infusion physiology studies),n/a,n/a,n/a,n/a,n/a,"States 'no consensus about the localization of GLP-1 receptors in human kidneys'; summarizes human infusion-study evidence for a natriuretic/RAAS-suppression effect independent of change in total renal plasma flow/GFR (citing Gutzwiller 2004; Skov 2013 J Clin Endocrinol Metab 98:E664; Asmar 2019 J Clin Endocrinol Metab 104:2509)","Secondary-extraction (WebFetch summary of PMC mirror, publisher page 403); underlying primary infusion studies not independently re-verified; mechanistic review, not primary outcome data",Suggestive (human mechanistic/biomarker evidence for natriuretic pathway); Unknown (definitive human renal GLP-1R localization),"09;15"
FDA-OZEMPIC-APPROVAL-S025-2025,"FDA supplement S-025 approval letter for the initial U.S. CKD-risk-reduction indication","U.S. Food and Drug Administration","FDA Drugs@FDA",2025,n/a,n/a,n/a,Regulatory approval action,n/a,n/a,n/a,n/a,n/a,"Historical chronology source establishing the 2025-01-28 initial approval date; NOT the current PI wording - use FDA-OZEMPIC-USPI-S038-2026 for current label text","Approval-letter/chronology use only, not current wording",High (official regulatory record),"11;13;15"
FDA-OZEMPIC-USPI-S038-2026,"Ozempic (semaglutide) injection, U.S. Prescribing Information, supplement S-038","U.S. Food and Drug Administration / Novo Nordisk","FDA / DailyMed",2026,n/a,n/a,n/a,Current regulatory labeling,n/a,n/a,n/a,n/a,n/a,"Indications and Usage bullet 3 (verbatim): 'to reduce the risk of sustained eGFR decline, end-stage kidney disease, and cardiovascular death in adults with type 2 diabetes mellitus and chronic kidney disease' - a standalone indication, distinct from the glycemic-control and MACE-reduction indications","Current wording as of 2026-09-05 cutoff (DailyMed setid adec4fd2-6858-4c99-91d4-531f5f2a2d79, revised 2026-05); indication is broader in wording than FLOW's precise eGFR/UACR enrollment pathways; 'no renal dose adjustment' is a PK statement, not proof of dialysis efficacy; manufacturer-copyrighted labeling - use short attributed paraphrase, not bulk reproduction",High (official regulatory record),"10;11;13;14;15"
EMA-OZEMPIC-SMPC-2026,"Ozempic (semaglutide) EU Summary of Product Characteristics (Annex I)","European Medicines Agency / Novo Nordisk","EMA (EMEA/H/C/004174)",2026,n/a,n/a,n/a,Current EU regulatory labeling,n/a,n/a,n/a,n/a,n/a,"Section 4.1 remains the standard T2D glycaemic-control indication and directs readers to sections 4.4/4.5/5.1; FLOW trial data sit in Section 5.1, so the EU has not granted a standalone CKD risk-reduction indication analogous to the U.S. label","Do not describe this as a U.S.-style independent CKD indication or call the U.S./EU/Taiwan indication wording substantively identical","High (official regulatory record, independently read)","11;13;14;15"
TFDA-OZEMPIC-2026,"Ozempic (semaglutide) Taiwan label","Taiwan Food and Drug Administration / Novo Nordisk","TFDA (license 衛部菌疫輸字第001107號)",2026,n/a,n/a,n/a,Current Taiwan regulatory labeling,n/a,n/a,n/a,n/a,n/a,"Standalone third indication (short English paraphrase of the official Chinese text): reduces risk of sustained eGFR decline, progression to end-stage kidney disease, or cardiovascular death in T2D patients with existing CKD - parallels the FDA's independent-indication structure","2026-01-26 is the label's most recent revision date, NOT a verified first-approval date for the Taiwan CKD indication - no checked source establishes the exact first-approval date",High (official regulatory record),"11;13;14;15"
KDIGO-DIABETES-CKD-UPDATE-2026-DRAFT,"KDIGO 2026 Clinical Practice Guideline for Diabetes Management in Chronic Kidney Disease Update","KDIGO Diabetes Work Group","KDIGO",2026,n/a,n/a,n/a,Clinical practice guideline - public-review draft,n/a,n/a,n/a,n/a,n/a,"Posted for public review March 2026; comment period closed 2026-04-13; NO final/published version identified as of the 2026-09-05 cutoff - MUST be labeled DRAFT throughout, never cited as finalized guidance; secondary summaries suggest a possible 'foundational therapy + additional risk-based therapy' framework and a proposed UACR>=100 mg/g reasoning derived from FLOW, but exact verbatim text is unverified and must not be quoted as final policy","Draft status; content directionality from secondary summaries only, not verbatim-confirmed against the primary PDF (direct fetch returned HTTP 403)",Provisional (draft; not finalized),"11;12;13;15"
ADA-STANDARDS-2026,"American Diabetes Association Standards of Care in Diabetes-2026, Chapter 11 (CKD and Risk Management) and Chapter 9 (Pharmacologic Approaches)","American Diabetes Association Professional Practice Committee","Diabetes Care",2026,10.2337/dc26-S011 (Ch.11); 10.2337/dc26-S009 (Ch.9),41358881,n/a,Clinical practice guideline,n/a,n/a,n/a,n/a,n/a,"Final guideline; official pages rechecked for 11.7a/11.7b, 9.10/9.11, 11.9, and 11.11b: SGLT2i remains foundational kidney/CV therapy in T2D+CKD at eGFR>=20; 11.7b recommends a GLP-1 agonist with demonstrated benefit in this population to reduce kidney progression and CV risk, without an HbA1c-failure condition; 9.10 addresses eGFR 20-60 and/or albuminuria irrespective of A1c; advanced-CKD/dialysis guidance remains lower certainty and must be separated from randomized efficacy","Official pages and numbering independently rechecked; downstream paraphrases must not imply SGLT2i and GLP-1RA have identical kidney-failure evidence or that SGLT2i+GLP-1RA+finerenone additive hard-outcome efficacy has been directly randomized","High (final guideline; official recommendations verified)","11;12;13;15"
CKM-GUIDELINE-2026,"2026 AHA/ACC/ADA/ASN Guideline for the Prevention, Detection, Evaluation, and Management of Cardiovascular-Kidney-Metabolic Syndrome","Ndumele CE; et al.","J Am Coll Cardiol / Circulation",2026,10.1016/j.jacc.2026.03.056 (JACC); 10.1161/CIR.0000000000001453 (Circulation; companion),42265997,n/a,Clinical practice guideline,n/a,n/a,n/a,n/a,n/a,"Final, published online 2026-06-09; positions GLP-1RA, SGLT2i, and finerenone (nsMRA) as effective, simultaneously-relevant therapies for T2D+CKD, using the PREVENT risk equation to stratify treatment intensity; evidence-search window (2024-10-29 to 2025-04-14) explicitly CANNOT incorporate later SOUL-kidney, 2026 FLOW-subgroup, dialysis-safety, or August-2026-pooled evidence","Author-manuscript cached copy carries an explicit AHA reuse restriction (no redistribution without permission) - paraphrase and cite only, do not reproduce guideline text at length; exact Class-of-Recommendation/Level-of-Evidence sequencing language for RASi+SGLT2i+finerenone+GLP-1RA not independently verbatim-confirmed by this project; the phrase 'four pillars' was NOT found attributed to this guideline in any source reached by this project",High (publication fact; final); Provisional (verbatim sequencing recommendation text),"11;12;13;15"
FLOW-PROTOCOL-2021,"FLOW - Effect of Semaglutide versus Placebo on the Progression of Renal Impairment in Subjects with Type 2 Diabetes and Chronic Kidney Disease: Protocol v5.0","Novo Nordisk A/S","ClinicalTrials.gov document repository",2021,n/a,n/a,"FLOW (NCT03819153)",Standalone trial protocol v5.0,Prospective,"Adults with T2D and albuminuric CKD under two eGFR/UACR pathways","Semaglutide 1.0 mg SC weekly plus standard care","Placebo plus standard care","Time to first five-component kidney/CV-death composite","Synopsis pp.6-7 confirms the endpoint, ITT estimand, eligibility pathways and 20% eGFR>=60 cap; trial-design pp.19-20 confirms baseline-SGLT2i stratification and event-driven design","Official registry PDF read locally 2026-09-05; final dated 2021-01-25; 88 numbered pages plus cover; SHA-256 bae8726d97f1b17477fd3be553ab59b16be3668b9ce358e6e7dba16ca63ad9af; sponsor proprietary/confidentiality language means public accessibility is not treated as permission to redistribute a derivative",High (prospective protocol; official registry copy),"01;02;12;13;14;15"
FLOW-SAP-2023,"FLOW Statistical Analysis Plan v3.0","Novo Nordisk A/S","ClinicalTrials.gov document repository",2023,n/a,n/a,"FLOW (NCT03819153)",Standalone statistical analysis plan v3.0,Prospective,"FLOW randomized population","Semaglutide 1.0 mg SC weekly","Placebo","Primary five-component composite; hierarchical total eGFR slope, MACE, all-cause death","Section 2.1 pp.6-7 confirms 90% power, one interim at two-thirds information, no futility test, Lan-DeMets/O'Brien-Fleming approximation, 854 planned events and illustrative 570-event boundary; section 2.3.1 p.12 gives stratified Cox/ITT analysis; section 2.4.1 pp.17-18 gives hierarchy and group-sequential caveat","Official registry PDF read locally 2026-09-05; final dated 2023-02-09; 34 numbered pages plus cover; SHA-256 01c40326165039baba0f48c3ca9761240d59e4656a724533c4746dd00d35731e; sponsor proprietary/confidentiality language; not redistributed",High (prospective SAP; official registry copy),"01;02;03;12"
SOUL-PROTOCOL-2021,"Semaglutide cardiovascular outcomes trial in patients with type 2 diabetes (SOUL): Protocol v4.0","Novo Nordisk A/S","ClinicalTrials.gov document repository",2021,n/a,n/a,"SOUL (NCT03914326)",Standalone trial protocol v4.0,Prospective,"Adults with T2D at high CV risk","Oral semaglutide 14 mg daily plus standard care","Placebo plus standard care",MACE primary; hierarchical CKD composite first confirmatory secondary,"Protocol pp.17-19 defines the CV-death-inclusive five-component CKD endpoint as first confirmatory secondary and the CV-death-excluded composite as supportive; section 10.3.2.1 p.50 gives CKD-to-CV-death-to-MALE hierarchy","Official registry PDF read locally 2026-09-05; final dated 2021-01-26; 89 numbered pages plus cover; SHA-256 17c3bb510da0a3e65ae4407f27d8f9481671053b9fa49b065108823a21bae2da; sponsor proprietary/confidentiality language; not redistributed",High (prospective protocol; official registry copy),"01;06"
FLOW-REGISTRY-2025,"FLOW Study Record NCT03819153","Novo Nordisk A/S",ClinicalTrials.gov,2025,n/a,n/a,"FLOW (NCT03819153)",Trial registry,Prospective and results record,"Adults with T2D and CKD","Semaglutide 1.0 mg SC weekly","Placebo","Registered primary kidney/CV-death composite","Official record completed; results first posted and record last updated 2025-03-20; checked headline endpoint/time-frame concordance with publication","A complete version-history and field-by-field reconciliation was not performed; registry and publication N should remain source-specific",High (official registry),"01;02"
SOUL-REGISTRY-2025,"SOUL Study Record NCT03914326","Novo Nordisk A/S",ClinicalTrials.gov,2025,n/a,n/a,"SOUL (NCT03914326)",Trial registry,Prospective and results record,"Adults with T2D at high CV risk","Oral semaglutide 14 mg daily","Placebo",MACE primary and kidney secondary outcomes,"Official record completed; enrollment shown as 9651; record last updated 2025-12-11","Publication reports 9650 randomized/analyzed and no checked source explains the one-person difference; preserve source-specific counts",High (official registry),"01;06"
KDIGO-DIABETES-CKD-2022,"KDIGO 2022 Clinical Practice Guideline for Diabetes Management in Chronic Kidney Disease","KDIGO Diabetes Work Group","Kidney Int",2022,10.1016/j.kint.2022.06.008,36272764,n/a,Clinical practice guideline,n/a,n/a,n/a,n/a,n/a,"Pre-FLOW final guideline: RAS blockade and SGLT2i foundational; long-acting GLP-1RA recommended primarily when individualized glycemic targets remain unmet despite metformin/SGLT2i or those agents cannot be used","Predates FLOW and therefore cannot contain dedicated semaglutide kidney-outcome evidence; do not project later recommendations backward",High (final guideline),"01;11;13"
KDIGO-CKD-2024,"KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease","KDIGO CKD Work Group","Kidney Int",2024,10.1016/j.kint.2023.10.018,38490803,n/a,Clinical practice guideline,n/a,n/a,n/a,n/a,n/a,"Final broad CKD guideline published before FLOW's full kidney-outcome incorporation into later guidance","Temporal/context source; does not establish a post-FLOW semaglutide-specific sequencing recommendation",High (final guideline),"01;11;13"
CREDENCE-EGFR-SLOPE-2020,"Renal, Cardiovascular, and Safety Outcomes of Canagliflozin by Baseline Kidney Function: A Secondary Analysis of the CREDENCE Randomized Trial","Jardine MJ; Zhou Z; Mahaffey KW; et al.","J Am Soc Nephrol",2020,10.1681/ASN.2019111168,32354987,CREDENCE,RCT secondary analysis,Prespecified subgroup/secondary analysis,"CREDENCE participants by baseline eGFR","Canagliflozin 100 mg","Placebo","Acute and chronic eGFR slopes","Baseline-to-week-3 between-arm difference in absolute eGFR change -3.17 (-3.87 to -2.47) mL/min/1.73m2; post-week-3 chronic slope difference +2.74 (2.37-3.11) mL/min/1.73m2/year (Table 1)","Secondary analysis rather than the primary CREDENCE report; acute between-arm difference in absolute change must not be labeled per-year; contextual cross-trial comparison only",High (prespecified secondary analysis; contextual),"14"
LEADER-RENAL-2017,"Liraglutide and Renal Outcomes in Type 2 Diabetes","Mann JFE; Orsted DD; Brown-Frandsen K; et al.","N Engl J Med",2017,10.1056/NEJMoa1616011,28854085,LEADER,RCT prespecified secondary analysis,Prespecified,"T2D at high CV risk; N=9340","Liraglutide","Placebo","New persistent macroalbuminuria, persistent doubling creatinine, ESKD, or kidney death","Kidney composite HR 0.78 (0.67-0.92); driven primarily by new persistent macroalbuminuria HR 0.74 (0.60-0.91)","CVOT secondary renal outcome dominated by albuminuria; not a dedicated kidney-outcomes trial and not semaglutide",Supportive molecule-specific secondary evidence,"06;12;15"
REWIND-RENAL-2019,"Dulaglutide and renal outcomes in type 2 diabetes: an exploratory analysis of the REWIND randomised placebo-controlled trial","Gerstein HC; Colhoun HM; Dagenais GR; et al.",Lancet,2019,10.1016/S0140-6736(19)31150-X,31189509,REWIND,RCT exploratory secondary analysis,Exploratory,"T2D with prior CV event or risk factors; N=9901","Dulaglutide 1.5 mg weekly","Placebo","New macroalbuminuria, sustained >=30% eGFR decline, or chronic RRT","Renal composite HR 0.85 (0.77-0.93); macroalbuminuria HR 0.77 (0.68-0.87); chronic RRT HR 0.75 (0.39-1.44)","Composite clearest for macroalbuminuria; sparse RRT estimate; not a dedicated kidney-outcomes trial",Supportive molecule-specific exploratory evidence,"06;12;15"
